DIRETORIA TÉCNICA E DE ENGENHARIA - DTE,,,,,,,,,,,,,,,,
A - ATIVIDADES OPERACIONAIS - COORDENADORIA DE DESTINAÇÃO DE RESÍDUOS - TCD,,,,,,,,,,,,,,,,
,"0,016","0,253","0,213","0,321","0,353","0,446","0,141","0,308","0,071","0,3","0,308","0,263","0,266",,,
Gerência Ofensora 2,CG08T,SG03R,SG03R,NG11P,OG26P,NG31V,NG15M,BG16J,CG09V,BG16J,NG15H,NG11P,NG22A,,,
,"0,051","0,321","0,25","0,394","0,391","0,519","0,176","0,497","0,341","0,333","0,353","0,429","0,359",,,
Gerência Ofensora 3,NG15H,NG11P,NG11P,SG04B,CG08T,SG03R,NG31V,NG14I,NG15M,NG11P,NG31V,NG31V,NG11P,,,
,"0,064","0,385","0,423","0,413","0,417","0,582","0,42","0,497","0,362","0,356","0,372","0,471","0,372",,,
,,,,,,,,,,,,,,,,
Utilização de Tratores Limp. Praia - AP1 / 2,,,,,,,,,,,,,,,,
Horas Utilizadas / Horas Estimadas (h),mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
P16A - Trator de Praia - h/mês,"0,563","0,467","0,709","0,616","0,558","0,568","0,604","0,605","0,572","0,541","0,566","0,528","0,542",,,
,,,,,,,,,,,,,,,,
Gerência Ofensora 1,SG06L,SG05C,SG04B,SG04B,SG06L,SG05C,SG05C,SG04B,SG04B,SG04B,SG05C,SG04B,SG27R,,,
,"0,472","0,419","0,497","0,606","0,527","0,376","0,468","0,471","0,379","0,407","0,524","0,474","0,547",,,
Gerência Ofensora 2,SG04B,SG04B,SG27R,SG05C,SG05C,SG27R,SG27R,SG05C,SG06L,SG05C,SG06L,SG06L,SG06L,,,
,"0,571","0,482","0,664","0,61","0,558","0,619","0,589","0,537","0,595","0,578","0,603","0,532","0,558",,,
Gerência Ofensora 3,SG27R,SG06L,SG05C,SG27R,SG27R,SG06L,SG04B,SG27R,SG05C,SG27R,SG04B,SG05C,SG05C,,,
,"0,597","0,606","0,756","0,617","0,586","0,658","0,668","0,719","0,663","0,667","0,756","0,543","0,578",,,
,,,,,,,,,,,,,,,,
Utilização de Tratores Limp. Praia - AP3/4/5,,,,,,,,,,,,,,,,
Horas Utilizadas / Horas Estimadas (h),mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
P16A - Trator de Praia - h/mês,"0,586","0,576","0,574","0,592","0,555","0,668","0,577","0,682","0,694","0,583","0,603","0,57","0,558",,,
,,,,,,,,,,,,,,,,
Gerência Ofensora 1,OG26P,OG26P,CG20G,OG26P,CG20G,OG26P,CG10R,CG20G,OG26P,OG26P,OG26P,CG20G,CG20G,,,
,"0,207","0,131","0,265","0,219","0,282","0,282","0,347","0,419","0,432","0,369","0,414","0,453","0,448",,,
Gerência Ofensora 2,CG10R,CG10R,OG26P,CG20G,OG26P,CG10R,OG26P,OG26P,CG10R,CG20G,CG20G,CG10R,BG24R,,,
,"0,395","0,285","0,274","0,304","0,29","0,429","0,461","0,44","0,528","0,482","0,517","0,498","0,485",,,
Gerência Ofensora 3,CG20G,CG20G,CG10R,CG10R,CG10R,CG20G,CG20G,CG10R,CG20G,CG10R,BG24B,OG26P,CG10R,,,
,"0,421","0,383","0,417","0,421","0,52","0,576","0,561","0,527","0,553","0,611","0,591","0,504","0,546",,,
,,,,,,,,,,,,,,,,
Sobrecarga >10% Peso Bruto Total - PBT,,,,,,,,,,,,,,,,
% Sobrecarga,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Qtde Pesagens > 10% PBT,8.047,7.749,8.282,7.843,9.208,9.843,10.797,12.664,12.348,11.281,10.502,8.779,8.516,,,
Qtde Pesagens > 10% PBT / Qtde Pesagens Total,"0,203","0,214","0,215","0,21","0,227","0,243","0,273","0,294","0,288","0,297","0,276","0,211","0,206",,,
Gerência Ofensora 1,OG19C,OG18G,OG18G,OG18G,OG18G,OG18G,OG18G,OG18G,OG18G,OG19C,OG19C,OG19C,OG19C,,,
Qtde Pesagens > 10% PBT,739,742,789,777,867,888,891,1.085,953,697,588,494,554,,,
Qtde Pesagens > 10% PBT / Qtde Pesagens Total,"0,337","0,454","0,434","0,461","0,542","0,541","0,527","0,581","0,537","0,389","0,359","0,281","0,315",,,
Gerência Ofensora 2,OG18G,OG19C,OG19C,OG19C,OG19C,OG19C,OG19C,OG19C,OG19C,BG16J,OG18G,OG18G,CG10R,,,
Qtde Pesagens > 10% PBT,719,737,788,742,790,827,866,1.062,928,633,566,490,389,,,
Qtde Pesagens > 10% PBT / Qtde Pesagens Total,"0,389","0,383","0,39","0,368","0,401","0,438","0,454","0,518","0,456","0,487","0,379","0,296","0,228",,,
Gerência Ofensora 3,OG18V,OG18V,OG18V,OG18V,OG18V,OG18V,BG16F,BG16F,OG18V,BG16F,OG18V,OG18V,OG17B,,,
Qtde Pesagens > 10% PBT,525,570,590,546,600,608,636,747,666,592,546,422,375,,,
Qtde Pesagens > 10% PBT / Qtde Pesagens Total,"0,205","0,429","0,484","0,454","0,502","0,481","0,278","0,297","0,516","0,268","0,479","0,36","0,166",,,
,,,,,,,,,,,,,,,,
Análise de Horas Extras x Faturamento,,,,,,,,,,,,,,,,
Horas Extras (Valor e %),mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Valor Total de Horas Extras,R$ 442.403,R$ 382.912,R$ 397.986,R$ 363.748,R$ 403.215,R$ 337.707,R$ 464.938,R$ 1.004.166,R$ 508.442,R$ 791.563,R$ 734.888,R$ 595.506,R$ 477.567,,,
Valor Total HE / Valor Total Faturado,"0,01","0,009","0,009","0,008","0,009","0,008","0,01","0,023","0,011","0,016","0,015","0,014","0,011",,,
Gerência Ofensora 1,NG15H,CG13M,NG15H,NG15H,CG09V,CG09V,CG09V,CG09V,CG09V,CG09V,CG09V,CG09V,CG09V,,,
Valor de Horas Extras - Gerência,R$ 28.212,R$ 50.250,R$ 34.529,R$ 33.510,R$ 39.817,R$ 34.803,R$ 47.164,R$ 74.104,R$ 54.708,R$ 66.185,R$ 81.318,R$ 70.393,R$ 70.068,,,
Valor HE / Valor Faturado - Gerência,"0,036","0,041","0,042","0,041","0,041","0,038","0,052","0,082","0,063","0,076","0,095","0,088","0,08",,,
Gerência Ofensora 2,CG13M,NG15H,CG13M,CG13M,NG15H,CG13M,CG13M,CG13M,CG13M,CG13M,SG04B,SG04B,SG04B,,,
Valor de Horas Extras - Gerência,R$ 43.827,R$ 30.286,R$ 46.986,R$ 45.129,R$ 34.948,R$ 41.554,R$ 44.791,R$ 85.124,R$ 47.915,R$ 68.283,R$ 76.840,R$ 50.620,R$ 33.596,,,
Valor HE / Valor Faturado - Gerência,"0,036","0,036","0,037","0,036","0,04","0,037","0,038","0,075","0,039","0,056","0,056","0,041","0,026",,,
Gerência Ofensora 3,CG09V,CG09V,CG09V,CG09V,CG13M,NG15H,BG16J,NG15H,NG15H,SG04B,CG13M,CG13M,NG15H,,,
Valor de Horas Extras - Gerência,R$ 29.613,R$ 26.906,R$ 31.815,R$ 33.025,R$ 44.732,R$ 20.767,R$ 36.454,R$ 43.374,R$ 24.247,R$ 80.853,R$ 59.952,R$ 44.998,R$ 33.042,,,
Valor HE / Valor Faturado - Gerência,"0,032","0,028","0,032","0,033","0,037","0,025","0,028","0,053","0,029","0,054","0,051","0,039","0,042",,,
,,,,,,,,,,,,,,,,
Utilização Tratores de Corte Vegetação,,,,,,,,,,,,,,,,
Horas Utilizadas / Horas Estimadas (h),mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
"Total P21, P22, P22A - h/mês","0,853","0,755","0,911","0,87","0,922","0,933","0,859","0,938","0,926","0,925","1,051","0,998","1,016",,,
,,,,,,,,,,,,,,,,
P21 - Roçadeira Mecânica - h/mês,"0,656","0,652","0,925","0,881","0,858","0,935","0,8","0,953","0,755","0,813","0,954","0,838","0,868",,,
,,,,,,,,,,,,,,,,
P22 - Trator c/Roçadeira Articulada - h/mês,"1,109","0,902","1,037","0,96","0,932","0,955","0,831","0,874","0,87","0,9","1,08","0,984","0,851",,,
,,,,,,,,,,,,,,,,
P22A - Trator c/Roçadeira Deslocável - h/mês,"0,685","0,64","0,635","0,669","1,013","0,887","1,017","1,04","1,337","1,171","1,165","1,306","1,605",,,
,,,,,,,,,,,,,,,,
Coleta Seletiva,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,544","0,538","0,562","0,577","0,592","0,595","0,622","0,664","0,653","0,648","0,65","0,62","0,57",,,
Gerência Ofensora 1,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,UDS-O,,,
,"0,387","0,368","0,381","0,408","0,402","0,41","0,421","0,475","0,47","0,437","0,423","0,447","0,408",,,
Gerência Ofensora 2,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,UDS-N,,,
,"0,586","0,597","0,643","0,624","0,708","0,649","0,714","0,751","0,746","0,783","0,816","0,747","0,678",,,
Gerência Ofensora 3,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,UDS-S,,,
,"0,725","0,723","0,744","0,776","0,768","0,812","0,832","0,855","0,836","0,812","0,836","0,773","0,703",,,
Critérios:,,,,,,,,,,,,,,,,
Coleta Seletiva,,,,,,,,,,,,,,,,
"Compactador P5B: 1,7 t x 2 viagens por apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
KM médio percorrido para a realização do serviço de Poda Mecanizada com Carroceria Fixa c/ Lança Elevatória,,,,,,,,,,,,,,,,
"Árvores Podadas, Corte Rente e Árvores Removidas (critério anterior considerava Poda de Sinalização ao invés de Árvores Removidas)",,,,,,,,,,,,,,,,
Indicador de Poda: KM/Manejo,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
KM / Manejo,"3,7","3,5",4,"4,7",4,"4,3","4,9","4,1","4,9","4,9","3,7","3,9","4,2",,,
Gerência Ofensora 1,UGV - T,UGV - O,UGV - O,UGV - O,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,,,
,"6,5","5,3","6,5","8,1","6,5","7,4",8,"7,6",7,"9,4",7,"5,8","7,7",,,
Gerência Ofensora 2,UGV - N,UGV - N,UGV - N,UGV - M,UGV - T,UGV - O,UGV - O,UGV - O,UGV - O,UGV - S,UGV - N,UGV - S,UGV - S,,,
,"4,3",5,"4,7","5,1","5,8",5,"6,6","4,8","6,7","8,7","4,1","5,1","5,5",,,
Gerência Ofensora 3,UGV - O,UGV - M,UGV - M,UGV - T,UGV - N,UGV - T,UGV - T,UGV - B,UGV - S,UGV - O,UGV - S,UGV - N,UGV - O,,,
,"4,1","4,2","4,2",5,"4,8","4,6","5,9","4,3","4,9","7,5","3,8","3,7","4,3",,,
,,,,,,,,,,,,,,,,
Média de Manejos Realizados por Apresentação na Poda Mecanizada com Carroceria Fixa c/ Lança Elevatória,,,,,,,,,,,,,,,,
"Árvores Podadas, Corte Rente e Árvores Removidas (critério anterior considerava Poda de Sinalização ao invés de Árvores Removidas)",,,,,,,,,,,,,,,,
Indicador de Poda: Manejo/Apresentação,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Manejo/Apresentação,"6,4","6,8","5,9","5,4","6,3","5,9","5,6","6,5","5,7","5,7","7,1","6,5",6,,,
Gerência Ofensora 1,UGV - T,UGV - N,UGV - T,UGV - T,UGV - T,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,UGV - M,,,
,"2,8","3,9","3,7","3,6","3,5","3,7","3,2","3,6","3,6","3,2","3,6","3,9","3,5",,,
Gerência Ofensora 2,UGV - N,UGV - T,UGV - N,UGV - M,UGV - N,UGV - T,UGV - T,UGV - N,UGV - N,UGV - N,UGV - T,UGV - T,UGV - S,,,
